"","sample_sums(hfd_02wk_unrare_min2)"
"hfd02wk427",114614
"hfd02wk428",120973
"hfd02wk429",118389
"hfd02wk430",127252
"hfd02wk431",113987
"hfd02wk432",107724
"hfd02wk433",111822
"hfd02wk434",109512
"hfd02wk435",103061
"hfd02wk436",94177
"hfd02wk437",72115
"hfd02wk438",67519
"hfd02wk439",32202
"hfd02wk440",66512
"hfd02wk441",69676
"hfd02wk442",73712
"hfd02wk443",103232
"hfd02wk444",105907
"hfd02wk445",129831
"hfd02wk446",124085
"hfd02wk447",142088
"hfd02wk448",131187
"hfd02wk449",113307
"hfd02wk450",102479
"hfd02wk451",99074
"hfd02wk452",58121
"hfd02wk453",73029
"hfd02wk454",83531
"hfd02wk455",42355
"hfd02wk456",26694
"hfd02wk457",72640
"hfd02wk458",77006
"hfd02wk459",134905
"hfd02wk460",128824
"hfd02wk461",111548
"hfd02wk462",102760
"hfd02wk463",56167
"hfd02wk464",68910
"hfd02wk465",82707
"hfd02wk466",85077
"hfd02wk467",110770
"hfd02wk468",127834
"hfd02wk469",89476
"hfd02wk470",78149
"hfd02wk471",74808
"hfd02wk472",86340
"hfd02wk473",81590
"hfd02wk474",71826
"hfd02wk475",100892
"hfd02wk476",96780
"hfd02wk477",102191
"hfd02wk478",82465
"hfd02wk479",81290
"hfd02wk480",88987
"hfd02wk481",97381
"hfd02wk482",87724
"hfd02wk483",63044
"hfd02wk484",69698
"hfd02wk485",95472
"hfd02wk486",83675
"hfd02wk487",70383
"hfd02wk488",68323
"hfd02wk489",68911
"hfd02wk490",81748
"hfd02wk491",100699
"hfd02wk492",105989
"hfd02wk493",99086
"hfd02wk494",141726
"hfd02wk495",106232
"hfd02wk496",104575
"hfd02wk497",89103
"hfd02wk498",91171
"hfd02wk499",108864
"hfd02wk500",104641
"hfd02wk501",73769
"hfd02wk502",97347
"hfd02wk503",83693
"hfd02wk504",100135
"hfd02wk505",96482
"hfd02wk506",88341
"hfd02wk507",64168
"hfd02wk508",63572
"hfd02wk509",58349
"hfd02wk510",66537
"hfd02wk511",59667
"hfd02wk512",56759
"hfd02wk513",56751
"hfd02wk514",63486
"hfd02wk515",95755
"hfd02wk516",743
